QueryID,QueryString,Table id,pgTitle,rows,cols,numberofNullsInTable,yrank,qlen,IDFpageTitles,IDFsectionTitle,IDFtableCaption,IDFtableHeading,IDFtableBody,IDFCatchAll,hitsLC,hitsSLC,hitsB,hitsPageTitle,hitsTableCaption,relevanceJudgement
1,world interest rates table,table-0031-203,Cinema of France,32,6,11,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0037-411,Student loans in the United Kingdom,23,4,23,95,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,2,1
1,world interest rates table,table-0060-37,Timeline of Maltese history,62,3,26,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0063-827,Corporate tax in the United States,10,2,0,26,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,3,0,3,0,0,0
1,world interest rates table,table-0125-805,Enlargement of the eurozone,7,6,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,2
1,world interest rates table,table-0165-510,"Opinion polling for the United Kingdom general election, 2010",118,8,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,2,0,0,0,0
1,world interest rates table,table-0168-741,Hyperinflation,6,6,0,42,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,0
1,world interest rates table,table-0189-66,1986 World Ice Hockey Championships,8,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,0
1,world interest rates table,table-0216-976,World distribution of wealth,6,11,16,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0216-970,World distribution of wealth,4,11,16,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0255-236,International rankings of Iran,66,6,1,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,6,0,6,0,0,1
1,world interest rates table,table-0288-531,Regret (decision theory),3,5,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0288-530,Regret (decision theory),4,5,1,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0354-778,Sensitive periods,8,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,2,0,0,0,0
1,world interest rates table,table-0370-614,Eurozone,43,4,2,89,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,3,0,3,0,1,2
1,world interest rates table,table-0377-686,"Bateshwar, Uttar Pradesh",1,1,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0389-400,Euro convergence criteria,7,6,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,2
1,world interest rates table,table-0424-979,Impeachment (Norway),8,4,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0464-505,Federal Reserve Economic Data,93,5,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0507-876,2011 Rugby World Cup,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0533-191,Italy at the Rugby World Cup,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0552-510,Single deposit,1,4,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,1
1,world interest rates table,table-0552-511,Single deposit,1,3,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0554-923,Cost of delay,1,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0707-517,2010 ICC World Cricket League Division One,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,0
1,world interest rates table,table-0730-168,List of Renminbi exchange rates,16,8,42,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,1,1,0
1,world interest rates table,table-0749-810,Crazy World (Scorpions album),9,3,1,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0781-227,All-time table of the FIFA World Cup,7,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,1,1,0
1,world interest rates table,table-0823-471,List of film festivals in Italy,28,6,41,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0839-987,French Indian rupee,4,5,7,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0875-680,Credit card interest,8,2,0,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,1,1,0
1,world interest rates table,table-0904-852,Progressivity in United States income tax,12,4,9,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,1
1,world interest rates table,table-0914-103,Income tax in the United States,20,8,24,21,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,0
1,world interest rates table,table-0914-101,Income tax in the United States,12,4,9,21,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,1,1
1,world interest rates table,table-0997-806,2011 Rugby World Cup Pool A,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0998-242,2011 Rugby World Cup Pool D,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0998-240,2011 Rugby World Cup Pool C,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
1,world interest rates table,table-0998-43,2011 Rugby World Cup Pool B,2,2,2,0,4,26.80344175,23.56423383,23.16596393,23.41475976,14.79472698,13.79627201,0,0,0,0,0,0
